TLA,pop,JobSeekers,Stratum
Masterton District,28200,798,Rural
Gisborne District,51500,2394,Rural
Invercargill City,57000,1716,Rural
Napier City,66700,2379,Rural
Wairoa District,9040,564,Rural
Ashburton District,35900,570,Rural
Waimakariri District,66300,1176,Rural
Rangitikei District,16050,549,Rural
Manawatu District,31100,747,Rural
Waitaki District,23800,519,Rural
Western Bay Of Plenty District,58100,1680,Rural
New Plymouth District,87300,2484,Rural
Central Hawke's Bay District,15600,345,Rural
Ruapehu District,12900,648,Rural
Otorohanga District,10500,315,Rural
Lower Hutt City,112800,4107,Urban
Hamilton City,178500,8484,Urban
Auckland Super City,1654800,57879,Urban
Christchurch City,392100,12447,Urban
