"TLA","pop","JobSeekers","Stratum"
"Ashburton District",35900,570,"Rural"
"Auckland Super City",1654800,57879,"Urban"
"Buller District",9660,552,"Rural"
"Carterton District",10050,210,"Rural"
"Central Hawke's Bay District",15600,345,"Rural"
"Central Otago District",24800,168,"Rural"
"Christchurch City",392100,12447,"Urban"
"Clutha District",18500,360,"Rural"
"Dunedin City",133300,3390,"Urban"
"Far North District",72600,5535,"Rural"
"Gisborne District",51500,2394,"Rural"
"Gore District",13050,288,"Rural"
"Grey District",14100,531,"Rural"
"Hamilton City",178500,8484,"Urban"
"Hastings District",90100,2511,"Rural"
"Hauraki District",21800,831,"Rural"
"Horowhenua District",36500,1662,"Rural"
"Hurunui District",13450,261,"Rural"
"Invercargill City",57000,1716,"Rural"
"Kaikoura District",4260,96,"Rural"
"Kaipara District",26000,1128,"Rural"
"Kapiti Coast District",58000,1563,"Rural"
"Kawerau District",7670,729,"Rural"
"Lower Hutt City",112800,4107,"Urban"
"Mackenzie District",5480,60,"Rural"
"Manawatu District",31100,747,"Rural"
"Marlborough District",51500,1116,"Rural"
"Masterton District",28200,798,"Rural"
"Matamata-Piako District",36700,1068,"Rural"
"Napier City",66700,2379,"Rural"
"Nelson City",54700,1476,"Rural"
"New Plymouth District",87300,2484,"Rural"
"Opotiki District",9670,762,"Rural"
"Otorohanga District",10500,315,"Rural"
"Palmerston North City",90500,2775,"Rural"
"Porirua City",61900,2082,"Rural"
"Queenstown-Lakes District",48300,231,"Rural"
"Rangitikei District",16050,549,"Rural"
"Rotorua District",77400,4599,"Rural"
"Ruapehu District",12900,648,"Rural"
"Selwyn District",73600,810,"Rural"
"South Taranaki District",29100,1161,"Rural"
"South Waikato District",25500,1611,"Rural"
"South Wairarapa District",11650,252,"Rural"
"Southland District",32700,510,"Rural"
"Stratford District",10100,342,"Rural"
"Tararua District",19050,672,"Rural"
"Tasman District",57900,1281,"Rural"
"Taupo District",38600,1320,"Rural"
"Tauranga City",155200,4665,"Urban"
"Thames-Coromandel District",33000,1218,"Rural"
"Timaru District",48400,927,"Rural"
"Upper Hutt City",47500,1353,"Rural"
"Waikato District",85900,2964,"Rural"
"Waimakariri District",66300,1176,"Rural"
"Waimate District",8290,183,"Rural"
"Waipa District",59500,1200,"Rural"
"Wairoa District",9040,564,"Rural"
"Waitaki District",23800,519,"Rural"
"Waitomo District",9640,390,"Rural"
"Wellington City",217000,5610,"Urban"
"Western Bay Of Plenty District",58100,1680,"Rural"
"Westland District",8910,273,"Rural"
"Whakatane District",37100,2343,"Rural"
"Whanganui District",48400,2271,"Rural"
"Whangarei District",94100,4491,"Rural"
